#""Wavelength (nm)""",Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,Photon Flux (Global Tilt)
3395,9.5465E-03,9.6446E-03,8.8748E+01
3400,1.2509E-02,1.2638E-02,1.1663E+02
3405,4.4594E-03,4.5061E-03,4.1701E+01
3410,7.0802E-03,7.1547E-03,6.6403E+01
3415,7.2774E-03,7.3543E-03,6.8453E+01
3420,1.3165E-02,1.3305E-02,1.2420E+02
3425,1.0006E-02,1.0112E-02,9.4671E+01
3430,8.6892E-03,8.7810E-03,8.2452E+01
3435,1.1553E-02,1.1673E-02,1.0995E+02
3440,8.0348E-03,8.1181E-03,7.6688E+01
3445,1.1318E-02,1.1434E-02,1.0834E+02
3450,1.1153E-02,1.1267E-02,1.0707E+02
3455,8.3089E-03,8.3938E-03,7.9997E+01
3460,1.2530E-02,1.2657E-02,1.2099E+02
3465,9.8179E-03,9.9163E-03,9.5073E+01
